 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, rowcost
C# minor (4#), 6+0:2:0:0:4, 7+0:2:0:0:5, 5+0:1:0:0:3, 6+0:2:0:0:5, 6+0:2:0:0:5, 5+0:2:0:0:4, 4+0:1:0:0:3, 4+0:1:0:0:4, 3+0:1:0:0:2, 5+0:1:0:0:4, 7+0:0:0:0:2, 6+0:2:0:0:5, 8+0:3:0:0:6, 6+0:2:0:0:4, 6+0:3:0:0:5, 4+0:1:0:0:2, 4+0:0:0:0:2, 5+0:0:0:0:2, 8+0:0:0:0:2, 5+0:0:0:0:3, 7+0:2:0:0:5, 6+0:2:0:0:5, 6+0:2:0:0:5, 7+0:1:0:0:4, 6+0:2:0:0:5, 6+0:2:0:0:5, 8+0:3:0:0:5, 7+0:2:0:0:5, 8+0:4:1:0:7, 7+0:3:0:0:6, 4+0:1:0:0:3, 6+0:1:0:0:4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 5+0:2:0:0:4, 8+0:2:0:0:5, 7+0:0:0:0:2, 8+0:2:0:0:5, 8+0:4:1:0:6, 4+0:3:0:0:4, 7+0:2:0:0:5, 6+0:3:1:0:6, 4+0:1:0:0:3, 4+0:1:0:0:4, 7+0:2:0:0:5, 7+0:2:0:0:5, 9+0:5:1:0:7, 7+0:3:0:0:6, 4+0:1:0:0:3, 3+0:1:0:0:2, 5+0:0:0:0:1, 5+0:0:0:0:3, 4+0:0:0:0:2, 7+0:2:0:0:4, 6+0:1:0:0:4, 6+0:1:0:0:4, 5+0:2:0:0:4, 3+0:1:0:0:3, 4+0:2:0:0:3, 7+0:2:0:0:5, 7+0:3:1:0:4, 6+0:2:0:0:5, 6+0:3:0:0:5, 6+0:3:0:0:5, 6+0:2:0:0:5, 4+0:1:0:0:3, 373+0:110:5:0:263
F minor mel (4b), 1+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:1:0:0:1, 4+0:1:0:0:1, 2+0:1:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:1, 2+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 163+0:9:5:0:14
C# minor mel (4#), 6+0:2:0:0:4, 7+0:1:0:0:4, 6+0:1:0:0:3, 6+0:1:0:0:4, 6+0:2:0:0:5, 5+0:2:0:0:4, 4+0:1:0:0:3, 5+0:1:0:0:4, 3+0:1:0:0:2, 6+0:1:0:0:4, 8+0:0:0:0:2, 6+0:1:0:0:4, 8+0:3:0:0:6, 7+0:2:0:0:4, 7+0:3:0:0:5, 4+0:1:0:0:2, 5+0:0:0:0:2, 6+0:0:0:0:2, 7+0:0:0:0:2, 6+0:0:0:0:3, 7+0:2:0:0:5, 7+0:2:0:0:5, 6+0:1:0:0:4, 8+0:1:0:0:4, 7+0:2:0:0:5, 6+0:1:0:0:4, 8+0:3:0:0:5, 8+0:2:0:0:5, 8+0:4:1:0:7, 7+0:3:0:0:6, 5+0:1:0:0:3, 7+0:1:0:0:4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 6+0:2:0:0:4, 8+0:1:0:0:4, 8+0:0:0:0:2, 8+0:1:0:0:4, 8+0:4:1:0:6, 4+0:3:0:0:4, 6+1:1:0:0:3, 7+0:2:1:0:5, 5+0:1:0:0:3, 5+0:1:0:0:4, 7+0:2:0:0:5, 7+0:1:0:0:4, 9+0:5:1:0:7, 7+0:3:0:0:6, 5+0:1:0:0:3, 3+0:1:0:0:2, 6+0:0:0:0:1, 6+0:0:0:0:3, 4+0:0:0:0:2, 7+0:2:0:0:4, 7+0:1:0:0:4, 7+0:1:0:0:4, 6+0:1:0:0:3, 4+0:1:0:0:3, 4+0:2:0:0:3, 7+0:1:0:0:4, 8+0:3:1:0:4, 6+0:1:0:0:4, 6+0:3:0:0:5, 6+0:3:0:0:5, 7+0:2:0:0:5, 5+0:1:0:0:3, 401+1:97:5:0:249
Ab major blues (4b), 3+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:2, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:1, 9+0:2:0:0:5, 4+0:0:0:0:1, 5+0:0:0:0:1, 5+0:0:0:0:2, 5+0:0:1:0:1, 2+0:0:0:0:0, 7+0:1:0:0:3, 6+0:1:0:0:2, 6+0:0:0:0:1, 6+0:0:0:0:3, 5+0:1:0:0:2, 6+0:0:0:0:2, 4+0:0:0:0:1, 5+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3+0:0:0:0:1, 6+0:0:0:0:1, 9+0:0:0:0:4, 6+0:0:0:0:2, 5+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:2, 4+0:1:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:2, 6+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 6+0:1:0:0:2, 6+0:1:0:0:2, 5+0:1:0:0:3, 4+0:0:0:0:1, 8+0:1:0:0:4, 6+0:1:0:0:3, 4+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 5+0:0:0:0:1, 7+0:0:1:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 283+0:11:2:0:80
E major blues (4#), 6+0:2:0:0:2, 8+0:1:0:0:1, 5+0:1:0:0:1, 7+0:1:0:0:1, 6+0:2:0:0:2, 5+0:2:0:0:2, 4+0:1:0:0:1, 5+0:1:0:0:1, 3+0:1:0:0:1, 6+0:1:0:0:1, 7+0:0:0:0:0, 7+0:1:0:0:1, 8+0:3:0:0:3, 7+0:2:0:0:2, 7+0:3:0:0:3, 4+0:1:0:0:1, 4+0:0:0:0:0, 6+0:0:0:0:0, 7+0:0:0:0:0, 5+0:0:0:0:0, 7+0:2:0:0:2, 7+0:2:0:0:2, 6+0:1:0:0:1, 8+0:1:0:0:1, 7+0:2:0:0:2, 7+0:1:0:0:1, 8+0:3:0:0:3, 8+0:2:0:0:2, 8+0:4:1:0:4, 7+0:3:0:0:3, 5+0:1:0:0:1, 7+0:1:0:0:1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 6+0:2:0:0:2, 9+0:1:0:0:1, 7+0:0:0:0:0, 9+0:1:0:0:1, 9+0:4:1:0:4, 4+0:3:0:0:3, 7+0:2:0:0:2, 7+0:3:1:0:3, 5+0:1:0:0:1, 5+0:1:0:0:1, 7+0:2:0:0:2, 8+0:1:0:0:1, 9+0:5:1:0:5, 7+0:3:0:0:3, 5+0:1:0:0:1, 3+0:1:0:0:1, 5+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 6+0:2:0:0:2, 7+0:1:0:0:1, 7+0:1:0:0:1, 6+0:2:0:0:2, 4+0:1:0:0:1, 4+0:2:0:0:2, 8+0:1:0:0:1, 8+0:3:1:0:3, 7+0:1:0:0:1, 6+0:3:0:0:3, 6+0:3:0:0:3, 7+0:2:0:0:2, 5+0:1:0:0:1, 404+0:100:5:0:100
F minor blues (4b), 3+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:2, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:1, 9+0:2:0:0:5, 4+0:0:0:0:1, 5+0:0:0:0:1, 5+0:0:0:0:2, 5+0:0:1:0:1, 2+0:0:0:0:0, 7+0:1:0:0:3, 6+0:1:0:0:2, 6+0:0:0:0:1, 6+0:0:0:0:3, 5+0:1:0:0:2, 6+0:0:0:0:2, 4+0:0:0:0:1, 5+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3+0:0:0:0:1, 6+0:0:0:0:1, 9+0:0:0:0:4, 6+0:0:0:0:2, 5+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:2, 4+0:1:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:2, 6+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 6+0:1:0:0:2, 6+0:1:0:0:2, 5+0:1:0:0:3, 4+0:0:0:0:1, 8+0:1:0:0:4, 6+0:1:0:0:3, 4+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 5+0:0:0:0:1, 7+0:0:1:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 283+0:11:2:0:80
C# minor blues (4#), 6+0:2:0:0:2, 8+0:1:0:0:1, 5+0:1:0:0:1, 7+0:1:0:0:1, 6+0:2:0:0:2, 5+0:2:0:0:2, 4+0:1:0:0:1, 5+0:1:0:0:1, 3+0:1:0:0:1, 6+0:1:0:0:1, 7+0:0:0:0:0, 7+0:1:0:0:1, 8+0:3:0:0:3, 7+0:2:0:0:2, 7+0:3:0:0:3, 4+0:1:0:0:1, 4+0:0:0:0:0, 6+0:0:0:0:0, 7+0:0:0:0:0, 5+0:0:0:0:0, 7+0:2:0:0:2, 7+0:2:0:0:2, 6+0:1:0:0:1, 8+0:1:0:0:1, 7+0:2:0:0:2, 7+0:1:0:0:1, 8+0:3:0:0:3, 8+0:2:0:0:2, 8+0:4:1:0:4, 7+0:3:0:0:3, 5+0:1:0:0:1, 7+0:1:0:0:1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 6+0:2:0:0:2, 9+0:1:0:0:1, 7+0:0:0:0:0, 9+0:1:0:0:1, 9+0:4:1:0:4, 4+0:3:0:0:3, 7+0:2:0:0:2, 7+0:3:1:0:3, 5+0:1:0:0:1, 5+0:1:0:0:1, 7+0:2:0:0:2, 8+0:1:0:0:1, 9+0:5:1:0:5, 7+0:3:0:0:3, 5+0:1:0:0:1, 3+0:1:0:0:1, 5+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 6+0:2:0:0:2, 7+0:1:0:0:1, 7+0:1:0:0:1, 6+0:2:0:0:2, 4+0:1:0:0:1, 4+0:2:0:0:2, 8+0:1:0:0:1, 8+0:3:1:0:3, 7+0:1:0:0:1, 6+0:3:0:0:3, 6+0:3:0:0:3, 7+0:2:0:0:2, 5+0:1:0:0:1, 404+0:100:5:0:100
Ab dorian (4b), 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 4+0:1:0:0:1, 3+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 4+0:0:0:0:0, 2+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 5+0:1:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 132+0:9:6:0:15
E dorian (4#), 6+0:2:0:0:2, 7+0:1:0:0:1, 5+0:1:0:0:1, 6+0:1:0:0:1, 6+0:2:0:0:2, 5+0:2:0:0:2, 4+0:1:0:0:1, 5+0:1:0:0:1, 3+0:1:0:0:1, 6+0:1:0:0:1, 7+0:0:0:0:0, 6+0:1:0:0:1, 8+0:3:0:0:3, 7+0:2:0:0:2, 7+0:3:0:0:3, 4+0:1:0:0:1, 4+0:0:0:0:0, 6+0:0:0:0:0, 6+0:0:0:0:0, 5+0:0:0:0:0, 7+0:2:0:0:2, 7+0:2:0:0:2, 5+0:1:0:0:1, 8+0:1:0:0:1, 7+0:2:0:0:2, 6+0:1:0:0:1, 8+0:3:0:0:3, 8+0:2:0:0:2, 8+0:4:1:0:4, 7+0:3:0:0:3, 5+0:1:0:0:1, 7+0:1:0:0:1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 6+0:2:0:0:2, 8+0:1:0:0:1, 7+0:0:0:0:0, 8+0:1:0:0:1, 8+0:4:1:0:4, 4+0:3:0:0:3, 6+1:1:0:0:1, 7+0:2:1:0:2, 5+0:1:0:0:1, 5+0:1:0:0:1, 7+0:2:0:0:2, 7+0:1:0:0:1, 9+0:5:1:0:5, 7+0:3:0:0:3, 5+0:1:0:0:1, 3+0:1:0:0:1, 5+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 6+0:2:0:0:2, 7+0:1:0:0:1, 7+0:1:0:0:1, 6+0:1:0:0:1, 4+0:1:0:0:1, 4+0:2:0:0:2, 7+0:1:0:0:1, 8+0:3:1:0:3, 6+0:1:0:0:1, 6+0:3:0:0:3, 6+0:3:0:0:3, 7+0:2:0:0:2, 5+0:1:0:0:1, 391+1:97:5:0:97
Ab phrygian (4b), 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:0, 9+0:0:0:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:1:0:0, 2+0:0:0:0:0, 6+0:1:0:0:3, 5+0:1:0:0:1, 5+0:0:0:0:1, 5+0:0:0:0:2, 4+0:1:0:0:2, 4+0:0:0:0:1, 3+0:0:1:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:1:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2+0:0:0:0:0, 5+0:0:0:0:0, 9+0:0:0:0:3, 5+0:0:0:0:1, 4+0:0:1:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:1:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:1:0:0:2, 5+0:1:0:0:1, 5+0:1:0:0:3, 3+0:0:0:0:1, 7+0:1:0:0:2, 5+0:1:0:0:2, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 226+0:8:6:0:36
E phrygian (4#), 5+0:2:0:0:0, 7+0:2:0:0:0, 3+0:1:0:0:0, 6+0:2:0:0:0, 5+0:2:0:0:1, 4+0:2:0:0:0, 3+0:1:0:0:0, 4+0:1:0:0:0, 2+0:1:0:0:0, 4+0:1:0:0:0, 5+0:0:0:0:0, 5+0:2:0:0:0, 7+0:3:0:0:2, 6+0:2:0:0:0, 5+0:3:0:0:1, 3+0:2:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:0, 6+0:2:0:0:0, 3+0:0:0:0:0, 6+0:2:0:0:2, 6+0:1:0:0:0, 5+0:2:0:0:0, 6+0:2:0:0:0, 5+0:2:0:0:0, 6+0:2:0:0:0, 7+0:3:0:0:1, 6+0:2:0:0:0, 7+0:4:1:0:2, 6+0:3:0:0:1, 3+0:1:0:0:0, 5+0:2:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 4+0:2:0:0:0, 7+0:2:0:0:0, 5+0:1:0:0:0, 7+0:2:0:0:0, 8+0:5:1:0:3, 4+0:3:0:0:1, 6+0:2:0:0:0, 6+0:3:1:0:1, 3+0:1:0:0:0, 4+0:1:0:0:0, 6+0:2:0:0:0, 7+0:2:0:0:0, 9+0:4:1:0:3, 6+0:3:0:0:1, 3+0:1:0:0:0, 2+0:1:0:0:0, 3+0:2:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:0, 5+0:2:0:0:1, 5+0:1:0:0:0, 5+0:1:0:0:0, 4+0:2:0:0:0, 3+0:1:0:0:0, 3+0:2:0:0:0, 6+0:2:0:0:0, 6+0:3:1:0:4, 5+0:2:0:0:0, 5+0:3:0:0:1, 5+0:3:0:0:1, 5+0:2:0:0:0, 3+0:1:0:0:0, 313+0:119:5:0:26
Ab lydian (4b), 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 4+0:1:0:0:1, 3+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 4+0:0:0:0:0, 2+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 5+0:1:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 132+0:9:6:0:15
E lydian (4#), 6+0:2:0:0:2, 7+0:1:0:0:1, 5+0:1:0:0:1, 6+0:1:0:0:1, 6+0:2:0:0:2, 5+0:2:0:0:2, 4+0:1:0:0:1, 5+0:1:0:0:1, 3+0:1:0:0:1, 6+0:1:0:0:1, 7+0:0:0:0:0, 6+0:1:0:0:1, 8+0:3:0:0:3, 7+0:2:0:0:2, 7+0:3:0:0:3, 4+0:1:0:0:1, 4+0:0:0:0:0, 6+0:0:0:0:0, 6+0:0:0:0:0, 5+0:0:0:0:0, 7+0:2:0:0:2, 7+0:2:0:0:2, 5+0:1:0:0:1, 8+0:1:0:0:1, 7+0:2:0:0:2, 6+0:1:0:0:1, 8+0:3:0:0:3, 8+0:2:0:0:2, 8+0:4:1:0:4, 7+0:3:0:0:3, 5+0:1:0:0:1, 7+0:1:0:0:1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 6+0:2:0:0:2, 8+0:1:0:0:1, 7+0:0:0:0:0, 8+0:1:0:0:1, 8+0:4:1:0:4, 4+0:3:0:0:3, 6+1:1:0:0:1, 7+0:2:1:0:2, 5+0:1:0:0:1, 5+0:1:0:0:1, 7+0:2:0:0:2, 7+0:1:0:0:1, 9+0:5:1:0:5, 7+0:3:0:0:3, 5+0:1:0:0:1, 3+0:1:0:0:1, 5+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 6+0:2:0:0:2, 7+0:1:0:0:1, 7+0:1:0:0:1, 6+0:1:0:0:1, 4+0:1:0:0:1, 4+0:2:0:0:2, 7+0:1:0:0:1, 8+0:3:1:0:3, 6+0:1:0:0:1, 6+0:3:0:0:3, 6+0:3:0:0:3, 7+0:2:0:0:2, 5+0:1:0:0:1, 391+1:97:5:0:97
Ab mixolydian (4b), 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:0, 9+0:0:0:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:1:0:0, 2+0:0:0:0:0, 6+0:1:0:0:3, 5+0:1:0:0:1, 5+0:0:0:0:1, 5+0:0:0:0:2, 4+0:1:0:0:2, 4+0:0:0:0:1, 3+0:0:1:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:1:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2+0:0:0:0:0, 5+0:0:0:0:0, 9+0:0:0:0:3, 5+0:0:0:0:1, 4+0:0:1:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:1:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:1:0:0:2, 5+0:1:0:0:1, 5+0:1:0:0:3, 3+0:0:0:0:1, 7+0:1:0:0:2, 5+0:1:0:0:2, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 226+0:8:6:0:36
